date,location,boat_name,trip_type,num_anglers,catch,trip_num
2019-05-14,Orange,Clemente,3/4 Day Trip,27 Anglers,"17 Bocaccio, 43 Sculpin, 21 Whitefish, 30 Rockfish, 127 Vermilion Rockfish",1
2019-05-14,Orange,Patriot (Newport),3/4 Day Trip,12 Anglers,"5 Barracuda, 1 Sculpin, 6 Sheephead, 2 Triggerfish, 5 Blue Perch, 14 Calico Bass, 61 Whitefish, 2 Opaleye, 10 Bonito, 10 Rockfish, 6 Spanish Jack, 1 Yellowfin Croaker",1
2019-05-14,Orange,Sum Fun,1/2 Day Trip,9 Anglers,"2 Calico Bass, 25 Calico Bass Released",1
2019-05-14,Orange,Sum Fun,1/2 Day Trip,29 Anglers,"11 Calico Bass, 35 Calico Bass Released",2
2019-05-14,San Diego,Chubasco II,1/2 Day Trip,19 Anglers,"95 Sculpin, 18 Whitefish, 30 Rockfish",1
2019-05-14,San Diego,Dolphin,1/2 Day Trip,20 Anglers,"9 Sand Bass, 1 Halibut, 27 Sculpin, 46 Rockfish",1
2019-05-14,San Diego,Electra,1/2 Day Trip,17 Anglers,"83 Sculpin, 1 Sheephead, 19 Whitefish, 101 Rockfish, 15 Sanddab",1
2019-05-14,San Diego,Grande,Full Day Trip,21 Anglers,"2 Bluefin Tuna, 105 Yellowtail, 20 Bonito",1
2019-05-14,San Diego,Liberty,Full Day Trip,45 Anglers,15 Bluefin Tuna,1
2019-05-14,San Diego,Mission Belle,Full Day Trip,18 Anglers,90 Yellowtail,1
2019-05-14,San Diego,New Seaforth,1/2 Day Trip,17 Anglers,"21 Rockfish, 21 Vermilion Rockfish",1
2019-05-14,San Diego,New Seaforth,1/2 Day Trip,37 Anglers,"1 Yellowtail, 1 Whitefish",2
2019-05-14,San Diego,Pacific Queen,1.5 Day Trip,28 Anglers,9 Bluefin Tuna,1
2019-05-14,San Diego,Point Loma,1/2 Day Trip,28 Anglers,"5 Sculpin, 1 Lingcod, 35 Rockfish",1
2019-05-14,San Diego,Premier,1/2 Day Trip,19 Anglers,"1 Sculpin, 1 Sheephead, 2 Calico Bass, 68 Rockfish",1
2019-05-14,San Diego,San Diego,Full Day Trip,43 Anglers,2 Bluefin Tuna,1
2019-05-14,San Diego,Sea Watch,Full Day Trip,14 Anglers,70 Yellowtail,1
2019-05-14,San Diego,Tribute,1.5 Day Trip,10 Anglers,"20 Bluefin Tuna, 7 Yellowtail",1
2019-05-15,Washington Coast,Hula Girl,Full Day Trip,13 Anglers,"26 Lingcod, 91 Rockfish",1
2019-05-15,Washington Coast,Slammer,Full Day Trip,15 Anglers,"105 Black Rockfish, 32 Lingcod",1
2019-05-15,Washington Coast,Tequila Too,Full Day Trip,3 Anglers,"19 Black Rockfish, 6 Lingcod, 2 Rockfish",1
2019-05-15,Oregon Coast,Kadaho,6 Hour,12 Anglers,"15 Lingcod, 84 Rockfish",1
2019-05-15,Bay Area,Bass-Tub,1/2 Day Trip,4 Anglers,"12 California Halibut (up to 12 pounds), 1 Striped Bass (up to 5 pounds), 24 California Halibut Released, 2 Striped Bass Released",1
2019-05-15,Bay Area,C Gull II,Full Day Trip,20 Anglers,"34 Halibut (up to 15 pounds), 1 Striped Bass",1
2019-05-15,Bay Area,California Dawn,Full Day Trip,22 Anglers,"33 California Halibut (up to 22 pounds), 11 Striped Bass",1
2019-05-15,Bay Area,Happy Hooker,Full Day Trip,23 Anglers,"28 Halibut, 11 Striped Bass",1
2019-05-15,Bay Area,Lovely Martha,1/2 Day Trip,9 Anglers,"24 California Halibut, 2 Striped Bass",1
2019-05-15,Bay Area,New Huck Finn,Full Day Trip,18 Anglers,"44 Halibut, 1 Striped Bass",1
2019-05-15,Bay Area,New Sea Angler,Full Day Trip,8 Anglers,"80 Dungeness Crab (up to 2 pounds), 8 Lingcod (up to 14 pounds), 80 Rockfish",1
2019-05-15,Bay Area,Pacific Pearl,1/2 Day Trip,5 Anglers,15 Halibut,1
2019-05-15,Bay Area,TigerFish,Full Day Trip,16 Anglers,"21 Halibut (up to 23 pounds), 2 Striped Bass",1
2019-05-15,Central Coast,Check Mate,Full Day Trip,9 Anglers,"1 Lingcod, 90 Rockfish",1
2019-05-15,Central Coast,Fiesta,3/4 Day Trip,18 Anglers,"10 Bocaccio, 30 Copper Rockfish, 3 Lingcod (up to 14 pounds), 140 Vermilion Rockfish",1
2019-05-15,Central Coast,Starfire,1/2 Day Trip,23 Anglers,"20 Bocaccio, 185 Red Rockfish (up to 6 pounds)",1
2019-05-15,Ventura Coast,Aloha Spirit,Full Day Trip,10 Anglers,"3 Sheephead, 29 Calico Bass, 5 Rockfish",1
2019-05-15,Ventura Coast,Amigo,Overnight Trip,21 Anglers,"2 Cabezon, 11 Sheephead, 2 Lingcod, 172 Whitefish, 1 Rock Sole, 208 Rockfish, 4 White Seabass",1
